order_id,tanggal,kategori,unit_terjual,harga_satuan,metode_pembayaran,kota
SEM-2000,2026-08-28,Elektronik,3,100000,E-Wallet,Semarang
SEM-2001,2026-08-29,Kesehatan & Kecantikan,4,25000,Transfer Bank,Semarang
SEM-2002,2026-08-19,Rumah Tangga,1,25000,COD,Semarang
SEM-2003,2026-08-02,Makanan & Minuman,2,75000,E-Wallet,Semarang
SEM-2004,2026-08-05,Elektronik,6,25000,Transfer Bank,Semarang
SEM-2005,2026-08-22,Fashion,7,75000,E-Wallet,Semarang
SEM-2006,2026-08-13,Fashion,1,100000,Kartu Kredit,Semarang
SEM-2007,2026-08-06,Makanan & Minuman,1,250000,Transfer Bank,Semarang
SEM-2008,2026-08-22,Fashion,4,50000,Kartu Kredit,Semarang
SEM-2009,2026-08-07,Makanan & Minuman,1,50000,Transfer Bank,Semarang
SEM-2010,2026-08-11,Rumah Tangga,6,150000,COD,Semarang
SEM-2011,2026-08-09,Rumah Tangga,5,25000,Transfer Bank,Semarang
SEM-2012,2026-08-19,Kesehatan & Kecantikan,5,50000,E-Wallet,Semarang
SEM-2013,2026-08-31,Elektronik,6,100000,Kartu Kredit,Semarang
SEM-2014,2026-08-12,Kesehatan & Kecantikan,5,250000,COD,Semarang
SEM-2015,2026-08-18,Rumah Tangga,5,50000,Kartu Kredit,Semarang
SEM-2016,2026-08-21,Makanan & Minuman,3,150000,Transfer Bank,Semarang
SEM-2017,2026-08-16,Kesehatan & Kecantikan,2,25000,Kartu Kredit,Semarang
SEM-2018,2026-08-27,Rumah Tangga,6,250000,Kartu Kredit,Semarang
SEM-2019,2026-08-18,Kesehatan & Kecantikan,5,50000,COD,Semarang
SEM-2020,2026-08-05,Fashion,3,250000,E-Wallet,Semarang
SEM-2021,2026-08-07,Kesehatan & Kecantikan,6,100000,E-Wallet,Semarang
SEM-2022,2026-08-07,Fashion,1,25000,Transfer Bank,Semarang
SEM-2023,2026-08-31,Makanan & Minuman,1,25000,Transfer Bank,Semarang
SEM-2024,2026-08-21,Kesehatan & Kecantikan,4,75000,COD,Semarang
SEM-2025,2026-08-18,Elektronik,5,25000,COD,Semarang
SEM-2026,2026-08-19,Elektronik,7,25000,E-Wallet,Semarang
SEM-2027,2026-08-05,Makanan & Minuman,3,75000,E-Wallet,Semarang
SEM-2028,2026-08-29,Elektronik,3,75000,Transfer Bank,Semarang
SEM-2029,2026-08-20,Rumah Tangga,4,75000,E-Wallet,Semarang
SEM-2030,2026-08-10,Fashion,1,100000,Transfer Bank,Semarang
SEM-2031,2026-08-23,Fashion,5,75000,Kartu Kredit,Semarang
